geo,geography_level,component,gender,age_group,period,start_year,end_year,value
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,116.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,123.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
Prince Edward Island,province,births,Men+,All ages,2024 / 2025,2024,2025,709.0
Prince Edward Island,province,births,Women+,All ages,2024 / 2025,2024,2025,666.0
Prince Edward Island,province,deaths,Men+,All ages,2024 / 2025,2024,2025,862.0
Prince Edward Island,province,deaths,Women+,All ages,2024 / 2025,2024,2025,758.0
Prince Edward Island,province,immigrants,Men+,All ages,2024 / 2025,2024,2025,1435.0
Prince Edward Island,province,immigrants,Women+,All ages,2024 / 2025,2024,2025,1408.0
Prince Edward Island,province,emigrants,Men+,All ages,2024 / 2025,2024,2025,129.0
Prince Edward Island,province,emigrants,Women+,All ages,2024 / 2025,2024,2025,128.0
Prince Edward Island,province,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,64.0
Prince Edward Island,province,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,66.0
Prince Edward Island,province,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
Prince Edward Island,province,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
Prince Edward Island,province,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,497.0
Prince Edward Island,province,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,546.0
Prince Edward Island,province,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
Prince Edward Island,province,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
Prince Edward Island,province,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-227.0
Prince Edward Island,province,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,-339.0
Prince Edward Island,province,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
Prince Edward Island,province,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Prince Edward Island, Prince Edward Island",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,709.0
"Prince Edward Island, Prince Edward Island",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,666.0
"Prince Edward Island, Prince Edward Island",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,862.0
"Prince Edward Island, Prince Edward Island",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,758.0
"Prince Edward Island, Prince Edward Island",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,1435.0
"Prince Edward Island, Prince Edward Island",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,1408.0
"Prince Edward Island, Prince Edward Island",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,129.0
"Prince Edward Island, Prince Edward Island",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,128.0
"Prince Edward Island, Prince Edward Island",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,64.0
"Prince Edward Island, Prince Edward Island",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,66.0
"Prince Edward Island, Prince Edward Island",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Prince Edward Island, Prince Edward Island",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Prince Edward Island, Prince Edward Island",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,497.0
"Prince Edward Island, Prince Edward Island",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,546.0
"Prince Edward Island, Prince Edward Island",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
"Prince Edward Island, Prince Edward Island",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
"Prince Edward Island, Prince Edward Island",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-227.0
"Prince Edward Island, Prince Edward Island",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,-339.0
"Prince Edward Island, Prince Edward Island",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"Prince Edward Island, Prince Edward Island",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
Nova Scotia,province,births,Men+,All ages,2024 / 2025,2024,2025,4063.0
Nova Scotia,province,births,Women+,All ages,2024 / 2025,2024,2025,3872.0
Nova Scotia,province,deaths,Men+,All ages,2024 / 2025,2024,2025,5820.0
Nova Scotia,province,deaths,Women+,All ages,2024 / 2025,2024,2025,5442.0
Nova Scotia,province,immigrants,Men+,All ages,2024 / 2025,2024,2025,5623.0
Nova Scotia,province,immigrants,Women+,All ages,2024 / 2025,2024,2025,5361.0
Nova Scotia,province,emigrants,Men+,All ages,2024 / 2025,2024,2025,948.0
Nova Scotia,province,emigrants,Women+,All ages,2024 / 2025,2024,2025,957.0
Nova Scotia,province,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,323.0
Nova Scotia,province,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,334.0
Nova Scotia,province,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
Nova Scotia,province,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
Nova Scotia,province,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,1453.0
Nova Scotia,province,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,1773.0
Nova Scotia,province,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
Nova Scotia,province,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
