model,target,geo,rmse,mae,relative_rmse,n
fixed20_aging_births_deaths_international,P3_65plus,British Columbia,3032.6714955629764,3017.8666666666977,0.0026859645105736228,3
fixed20_aging_births_deaths_international,P3_65plus,Manitoba,984.8375906716984,880.3333333333527,0.003908571663692437,3
fixed20_aging_births_deaths_international,P3_65plus,New Brunswick,444.21909008956,335.3999999999942,0.002253439823379372,3
fixed20_aging_births_deaths_international,P3_65plus,Newfoundland and Labrador,187.19932336059745,159.1333333333314,0.0013888666947321114,3
fixed20_aging_births_deaths_international,P3_65plus,Nova Scotia,233.46177417298102,204.79999999999805,0.000973920686540789,3
fixed20_aging_births_deaths_international,P3_65plus,Ontario,14415.47791507468,14299.73333333355,0.0048625530998295365,3
fixed20_aging_births_deaths_international,P3_65plus,Prince Edward Island,94.99178911884961,86.0,0.0025746986199917674,3
fixed20_aging_births_deaths_international,P3_65plus,Quebec,2064.710898245606,1958.5333333335195,0.001083250530987195,3
fixed20_aging_births_deaths_international,P3_65plus,Saskatchewan,458.93499902855115,404.2666666666725,0.002099428174879008,3
fixed20_aging_births_deaths_international,P3_65plus,Yukon,79.70152654330633,77.53333333333346,0.011244043246175358,3
fixed20_aging_births_deaths_international,P_tot,ALL,15946.263452323808,9413.909090909327,0.00428861800514422,33
fixed20_aging_births_deaths_international,P_tot,Alberta,39421.336401327986,38539.0,0.008085348827560516,3
fixed20_aging_births_deaths_international,P_tot,British Columbia,3428.4155232409485,3357.0,0.0006091731500280116,3
fixed20_aging_births_deaths_international,P_tot,Manitoba,7910.091845231717,7509.666666666744,0.00532660378422301,3
fixed20_aging_births_deaths_international,P_tot,New Brunswick,4278.48053246321,3555.0,0.005015650791960866,3
fixed20_aging_births_deaths_international,P_tot,Newfoundland and Labrador,873.8958748043156,730.6666666666666,0.0016029208333081311,3
fixed20_aging_births_deaths_international,P_tot,Nova Scotia,6749.425679270753,6331.666666666628,0.006270720933451385,3
fixed20_aging_births_deaths_international,P_tot,Ontario,31932.780049139827,30275.66666666791,0.0019943222067674037,3
fixed20_aging_births_deaths_international,P_tot,Prince Edward Island,1183.6104370385754,1163.666666666657,0.006623449563730136,3
fixed20_aging_births_deaths_international,P_tot,Quebec,7920.809260003368,7618.666666667908,0.0008841679952951182,3
fixed20_aging_births_deaths_international,P_tot,Saskatchewan,4483.177630505749,4092.333333333411,0.003610531438087637,3
fixed20_aging_births_deaths_international,P_tot,Yukon,431.08738479957094,379.6666666666667,0.009153116626551487,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,ALL,2070.3950576708803,1335.9413415130614,0.0036657417538098684,33
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Alberta,1414.2720771024944,1251.9981174861703,0.0016381586775040852,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,British Columbia,4383.280938319205,4307.904107550935,0.005863489560392486,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Manitoba,997.4282580896091,978.9550874355482,0.0037567919325409006,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,New Brunswick,422.62085597704294,353.0362595985304,0.0035135348604579974,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Newfoundland and Labrador,489.3393235711383,485.3865334713046,0.007179800800691634,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Nova Scotia,607.0264090913622,541.9467835528097,0.004164161023854475,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Ontario,4530.6920424227765,4322.669411123886,0.0019223087442591753,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Prince Edward Island,127.933463535273,126.64556837235675,0.005081833464935901,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Quebec,1548.159555380709,1221.1104451247957,0.0011218401175786903,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Saskatchewan,1102.359258250033,1074.2237753319107,0.004736780117664894,3
fixed20_aging_births_deaths_international_interprovincial,P1_0_14,Yukon,40.47839426859902,31.478667595428607,0.005517022525364457,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,ALL,5704.6499037163685,3060.326862184007,0.0023362401273651382,33
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Alberta,3235.7186458327033,2967.728535306485,0.0009895727939541214,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,British Columbia,7215.86900794261,7143.310730280199,0.0019235413123563142,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Manitoba,1333.953217995778,1256.1734924350942,0.0013786955656217108,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,New Brunswick,634.4109330191662,508.2038198978601,0.0011844576831017287,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Newfoundland and Labrador,418.03284517746346,398.10276749829063,0.0012214289747448889,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Nova Scotia,1077.673658665387,960.2756550062913,0.0015599189677273824,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Ontario,16837.642759874063,16578.51382636341,0.0015750313071824962,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Prince Edward Island,179.2151431664012,161.7741208869605,0.0015365995590057634,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Quebec,2624.3166783263646,2440.0821972101307,0.00046264349193624813,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Saskatchewan,1215.132191486257,1133.8547951468888,0.0015374193625691428,3
fixed20_aging_births_deaths_international_interprovincial,P2_15_64,Yukon,121.40274846616099,115.57554399246874,0.0037158040054530174,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,ALL,4000.0905253824176,1835.2050416992279,0.005620695175590579,33
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Alberta,1881.8975223440173,1715.7304178205475,0.002534519361007781,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,British Columbia,2944.3999629507425,2938.10206438081,0.002607784528258595,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Manitoba,461.1706172368644,380.7312177256584,0.0018302697051096211,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,New Brunswick,277.0155765917082,269.6749163084314,0.0014052478741116232,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Newfoundland and Labrador,103.17923105223052,80.80182281568705,0.0007655059592308074,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Nova Scotia,473.9416384086676,422.5404516370424,0.0019771183847734834,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Ontario,12676.451268543673,12584.278249233961,0.004275953788964323,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Prince Edward Island,74.16739743093994,58.174682819767135,0.0020102652827698906,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Quebec,1587.7048573236618,1496.3080062311299,0.0008329893212692377,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Saskatchewan,214.3491769249082,154.63051572466307,0.0009805543317699368,3
fixed20_aging_births_deaths_international_interprovincial,P3_65plus,Yukon,87.08874169684107,86.28311399380891,0.012286208562921383,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,ALL,136.7615683826969,75.42067262498644,3.6780912740553315e-05,33
fixed20_aging_births_deaths_international_interprovincial,P_tot,Alberta,0.0,0.0,0.0,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,British Columbia,108.42363218993464,102.69544165177892,1.9265099318003263e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Manitoba,88.1104635173482,87.80390078147563,5.933300618804659e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,New Brunswick,5.571174550033279,3.216519126164106,6.531072382357958e-06,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Newfoundland and Labrador,7.9703951290185096,6.481943157268688,1.4619490456871908e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Nova Scotia,7.294670857993422,4.211580183512221,6.777294458155949e-06,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Ontario,339.58230494983684,328.4338339952131,2.1208192044180093e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Prince Edward Island,0.6649514293310839,0.4027253007613278,3.7210488490827302e-06,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Quebec,263.7862324854138,262.38165360316634,2.944539335655977e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Saskatchewan,34.24307362055863,32.720388404559344,2.757769243906336e-05,3
fixed20_aging_births_deaths_international_interprovincial,P_tot,Yukon,1.3148043050452525,1.2794126709510845,2.7916746278173974e-05,3
empirical_transition_aging_only,P1_0_14,ALL,69767.15032661837,43835.703030303004,0.12352635553734485,33
empirical_transition_aging_only,P1_0_14,Alberta,75307.40452359241,75179.86666666658,0.08722895700053677,3
empirical_transition_aging_only,P1_0_14,British Columbia,55024.34965794684,54905.86666666662,0.07360575430295677,3
empirical_transition_aging_only,P1_0_14,Manitoba,20164.912616059923,20127.533333333315,0.07595070665182645,3
empirical_transition_aging_only,P1_0_14,New Brunswick,11234.745546443559,11203.866666666669,0.09340208739709929,3
empirical_transition_aging_only,P1_0_14,Newfoundland and Labrador,4879.0123932342385,4876.466666666663,0.07158700598979148,3
empirical_transition_aging_only,P1_0_14,Nova Scotia,11992.29999680349,11936.733333333317,0.08226638493012121,3
empirical_transition_aging_only,P1_0_14,Ontario,184345.32131865996,184077.46666666665,0.07821512029862654,3
empirical_transition_aging_only,P1_0_14,Prince Edward Island,2070.805640324556,2067.5999999999985,0.08225751974172009,3
empirical_transition_aging_only,P1_0_14,Quebec,99086.33041659508,98932.59999999993,0.07180075217612747,3
empirical_transition_aging_only,P1_0_14,Saskatchewan,18350.215539878543,18302.333333333332,0.07884991709703314,3
empirical_transition_aging_only,P1_0_14,Yukon,586.0349705151274,582.3999999999996,0.079873922654372,3
empirical_transition_aging_only,P2_15_64,ALL,117522.14990576825,62101.63030303012,0.0481291520247739,33
