geo,gender,age_group,stage,population_pred,year,operator
Nova Scotia,Men+,100 years and older,after_aging,139.0,2022,fixed20
Nova Scotia,Women+,-1 year,after_aging,0.0,2022,fixed20
Nova Scotia,Women+,0 to 4 years,after_aging,16473.600000000002,2022,fixed20
Nova Scotia,Women+,5 to 9 years,after_aging,22761.600000000002,2022,fixed20
Nova Scotia,Women+,10 to 14 years,after_aging,23589.6,2022,fixed20
Nova Scotia,Women+,15 to 19 years,after_aging,23659.4,2022,fixed20
Nova Scotia,Women+,20 to 24 years,after_aging,28487.8,2022,fixed20
Nova Scotia,Women+,25 to 29 years,after_aging,31440.600000000002,2022,fixed20
Nova Scotia,Women+,30 to 34 years,after_aging,31571.4,2022,fixed20
Nova Scotia,Women+,35 to 39 years,after_aging,30791.800000000003,2022,fixed20
Nova Scotia,Women+,40 to 44 years,after_aging,30201.600000000002,2022,fixed20
Nova Scotia,Women+,45 to 49 years,after_aging,30934.800000000003,2022,fixed20
Nova Scotia,Women+,50 to 54 years,after_aging,33035.200000000004,2022,fixed20
Nova Scotia,Women+,55 to 59 years,after_aging,38580.8,2022,fixed20
Nova Scotia,Women+,60 to 64 years,after_aging,39992.200000000004,2022,fixed20
Nova Scotia,Women+,65 to 69 years,after_aging,36617.6,2022,fixed20
Nova Scotia,Women+,70 to 74 years,after_aging,32040.2,2022,fixed20
Nova Scotia,Women+,75 to 79 years,after_aging,23265.0,2022,fixed20
Nova Scotia,Women+,80 to 84 years,after_aging,15656.0,2022,fixed20
Nova Scotia,Women+,85 to 89 years,after_aging,9944.0,2022,fixed20
Nova Scotia,Women+,90 to 94 years,after_aging,5282.6,2022,fixed20
Nova Scotia,Women+,95 to 99 years,after_aging,2046.0,2022,fixed20
Nova Scotia,Women+,100 years and older,after_aging,576.2,2022,fixed20
Ontario,Men+,-1 year,after_aging,0.0,2022,fixed20
Ontario,Men+,0 to 4 years,after_aging,294496.0,2022,fixed20
Ontario,Men+,5 to 9 years,after_aging,393858.4,2022,fixed20
Ontario,Men+,10 to 14 years,after_aging,413077.80000000005,2022,fixed20
Ontario,Men+,15 to 19 years,after_aging,424198.0,2022,fixed20
Ontario,Men+,20 to 24 years,after_aging,498543.8,2022,fixed20
Ontario,Men+,25 to 29 years,after_aging,561027.0,2022,fixed20
Ontario,Men+,30 to 34 years,after_aging,548663.4,2022,fixed20
Ontario,Men+,35 to 39 years,after_aging,510841.20000000007,2022,fixed20
Ontario,Men+,40 to 44 years,after_aging,468187.20000000007,2022,fixed20
Ontario,Men+,45 to 49 years,after_aging,453829.00000000006,2022,fixed20
Ontario,Men+,50 to 54 years,after_aging,468823.60000000003,2022,fixed20
Ontario,Men+,55 to 59 years,after_aging,515876.0,2022,fixed20
Ontario,Men+,60 to 64 years,after_aging,493332.20000000007,2022,fixed20
Ontario,Men+,65 to 69 years,after_aging,412249.60000000003,2022,fixed20
Ontario,Men+,70 to 74 years,after_aging,342000.6,2022,fixed20
Ontario,Men+,75 to 79 years,after_aging,243836.40000000002,2022,fixed20
Ontario,Men+,80 to 84 years,after_aging,159429.8,2022,fixed20
Ontario,Men+,85 to 89 years,after_aging,95389.2,2022,fixed20
Ontario,Men+,90 to 94 years,after_aging,44212.8,2022,fixed20
Ontario,Men+,95 to 99 years,after_aging,12767.8,2022,fixed20
Ontario,Men+,100 years and older,after_aging,2190.2,2022,fixed20
Ontario,Women+,-1 year,after_aging,0.0,2022,fixed20
Ontario,Women+,0 to 4 years,after_aging,281676.8,2022,fixed20
Ontario,Women+,5 to 9 years,after_aging,374148.80000000005,2022,fixed20
Ontario,Women+,10 to 14 years,after_aging,388656.4,2022,fixed20
Ontario,Women+,15 to 19 years,after_aging,397013.0,2022,fixed20
Ontario,Women+,20 to 24 years,after_aging,457512.0,2022,fixed20
Ontario,Women+,25 to 29 years,after_aging,512043.80000000005,2022,fixed20
Ontario,Women+,30 to 34 years,after_aging,521925.4,2022,fixed20
Ontario,Women+,35 to 39 years,after_aging,505896.2,2022,fixed20
Ontario,Women+,40 to 44 years,after_aging,479702.6,2022,fixed20
Ontario,Women+,45 to 49 years,after_aging,476052.60000000003,2022,fixed20
Ontario,Women+,50 to 54 years,after_aging,493343.80000000005,2022,fixed20
Ontario,Women+,55 to 59 years,after_aging,529492.0,2022,fixed20
Ontario,Women+,60 to 64 years,after_aging,511044.4,2022,fixed20
Ontario,Women+,65 to 69 years,after_aging,446088.00000000006,2022,fixed20
Ontario,Women+,70 to 74 years,after_aging,380389.0,2022,fixed20
Ontario,Women+,75 to 79 years,after_aging,278638.2,2022,fixed20
Ontario,Women+,80 to 84 years,after_aging,198947.0,2022,fixed20
Ontario,Women+,85 to 89 years,after_aging,135569.0,2022,fixed20
Ontario,Women+,90 to 94 years,after_aging,78891.0,2022,fixed20
Ontario,Women+,95 to 99 years,after_aging,30981.0,2022,fixed20
Ontario,Women+,100 years and older,after_aging,7647.0,2022,fixed20
Prince Edward Island,Men+,-1 year,after_aging,0.0,2022,fixed20
Prince Edward Island,Men+,0 to 4 years,after_aging,2891.2000000000003,2022,fixed20
