alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.235,0.26,7068.450461035742,6744.0394169990905,9572.94358290662,6177.739624734735
0.21,0.2,7077.23187820103,6820.240583000977,8871.119956644136,7278.95537526533
0.275,0.28,7100.509469489419,6868.76724966761,8675.044956644066,7517.700375265325
0.17,0.18,7145.108541244417,6792.566083665665,9675.853582906537,6416.484624734614
0.19,0.175,7242.306749208873,6984.032249667584,9106.149956644105,7383.7653752652695
0.255,0.255,7264.804649827432,7032.5589163342565,8910.074956644094,7622.510375265265
0.19,0.205,7292.4338892239675,6956.357750332371,9827.38858290657,6521.29462473467
0.125,0.125,7371.310744317096,7004.8844169990625,9930.298582906602,6760.039624734665
0.17,0.15,7407.71632175523,7147.8239163342705,9341.179956644075,7488.575375265325
0.235,0.23,7429.468119330642,7196.350583000963,9145.104956644122,7727.320375265321
0.21,0.23,7440.837725242383,7120.149416999057,9978.923582906602,6626.104624734668
0.145,0.15,7517.915402291099,7168.6760836657295,10081.833582906576,6864.849624734721
0.15,0.125,7573.438665474973,7311.615583000957,9576.209956644103,7593.385375265323
0.23,0.255,7590.2567901374405,7283.941083665704,10130.458582906518,6730.914624734665
0.215,0.205,7594.475922293556,7360.142249667668,9380.13495664415,7832.130375265377
0.165,0.175,7665.594560428878,7332.467750332396,10233.36858290655,6969.659624734777
0.25,0.28,7740.632292598315,7447.7327503324095,10281.99358290655,6835.724624734721
0.195,0.18,7759.806092589693,7523.933916334335,9615.164956644177,7936.940375265316
0.26,0.26,7784.646929932613,7572.460583000949,9419.089956644108,8175.685375265311
0.185,0.2,7814.287299293369,7496.259416999043,10384.903582906583,7074.469624734658
0.12,0.12,7891.734520058301,7544.7860836657155,10487.813582906558,7313.214624734712
0.175,0.155,7925.438455822903,7687.7255830009235,9850.194956644089,8041.750375265256
0.24,0.235,7949.532554068094,7736.252249667635,9654.119956644077,8280.495375265367
0.205,0.225,7963.936846125102,7660.0510836657295,10536.438582906616,7179.279624734656
0.14,0.145,8039.7160217437995,7708.5777503323625,10639.348582906532,7418.0246247347095
0.155,0.13,8091.354454084465,7851.51724966761,10085.224956644117,8146.560375265311
0.225,0.25,8114.490263990075,7823.842750332376,10687.973582906532,7284.089624734712
0.22,0.21,8114.73141236463,7900.043916334301,9889.149956644105,8385.305375265307
0.16,0.17,8188.653842216001,7872.369416999068,10790.883582906565,7522.834624734707
0.245,0.275,8265.898164256612,7987.634416999043,10839.508582906565,7388.899624734651
0.2,0.185,8280.224756828506,8063.835583000929,10124.179956644075,8490.115375265304
0.265,0.265,8307.106411459625,8112.362249667601,9928.104956644122,8728.860375265242
0.18,0.195,8338.496737850499,8036.161083665735,10942.418582906597,7627.644624734705
0.18,0.16,8445.995276728781,8227.627249667616,10359.209956644103,8594.925375265302
0.245,0.24,8472.135917481288,8276.153916334306,10163.13495664415,8833.670375265297
0.2,0.22,8489.19678231085,8199.952750332342,11093.953582906513,7732.4546247347025
