operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
real_single_age,after_aging,New Brunswick,2025,112284.30096795202,536339.7324817801,209668.9665502679,858293.0
real_single_age,after_aging,Newfoundland and Labrador,2023,63559.53475058249,332381.06999856397,135316.39525085356,531257.0
real_single_age,after_aging,Newfoundland and Labrador,2024,63401.730454634155,336082.9650058149,139304.30453955094,538789.0
real_single_age,after_aging,Newfoundland and Labrador,2025,63206.7423888689,340414.16829583567,143248.08931529542,546869.0
real_single_age,after_aging,Nova Scotia,2023,131819.75446181913,651603.1929701498,240611.05256803104,1024034.0
real_single_age,after_aging,Nova Scotia,2024,134242.89528155717,670646.8478900623,248115.25682838054,1053005.0
real_single_age,after_aging,Nova Scotia,2025,136123.0170079303,691242.723262794,255403.2597292757,1082769.0
real_single_age,after_aging,Ontario,2023,2156005.7539751395,10043497.777450576,2956332.4685742836,15155836.0
real_single_age,after_aging,Ontario,2024,2171774.589355114,10403835.638553753,3056870.772091133,15632481.000000002
real_single_age,after_aging,Ontario,2025,2201345.689679332,10777636.070781,3165815.2395396675,16144797.0
real_single_age,after_aging,Prince Edward Island,2023,22904.811506802936,107473.58222555254,36821.60626764452,167200.0
real_single_age,after_aging,Prince Edward Island,2024,23102.608643621083,112551.53533760476,38079.85601877416,173734.0
real_single_age,after_aging,Prince Edward Island,2025,23433.00959958244,117032.11444479425,39243.875955623305,179709.0
real_single_age,after_aging,Quebec,2023,1278251.074288025,5483658.302371435,1908053.62334054,8669963.0
real_single_age,after_aging,Quebec,2024,1284002.4896139712,5569865.674267162,1967827.8361188667,8821696.0
real_single_age,after_aging,Quebec,2025,1287285.799913479,5681549.784902707,2026638.415183814,8995474.0
real_single_age,after_aging,Saskatchewan,2023,211822.04817189433,747830.0382775032,219143.91355060233,1178795.9999999998
real_single_age,after_aging,Saskatchewan,2024,214875.83577496116,769242.5736459487,226138.59057909023,1210257.0
real_single_age,after_aging,Saskatchewan,2025,217604.06967749822,797109.5073012155,233154.4230212862,1247868.0
real_single_age,after_aging,Yukon,2023,6642.221970653443,30213.62877323562,7013.149256110934,43869.0
real_single_age,after_aging,Yukon,2024,6756.066839708368,31314.63093640163,7348.302223889999,45419.0
real_single_age,after_aging,Yukon,2025,6897.412901951657,33032.55773328994,7665.029364758401,47595.0
real_single_age,after_births,Alberta,2023,821022.9920603012,3018660.514894459,720998.49304524,4560682.0
real_single_age,after_births,Alberta,2024,837476.4288612868,3142255.6387575683,758871.932381145,4738604.0
real_single_age,after_births,Alberta,2025,860183.2881073798,3304163.9741592067,797128.7377334132,4961476.0
real_single_age,after_births,British Columbia,2023,731765.9489715069,3544696.3761815093,1123592.6748469835,5400055.0
real_single_age,after_births,British Columbia,2024,736383.5408846287,3660651.6167961326,1160978.8423192385,5558014.0
real_single_age,after_births,British Columbia,2025,741553.6363773155,3773714.090940484,1200217.2726822004,5715484.999999999
real_single_age,after_births,Manitoba,2023,258603.31553072782,917481.275299177,252895.4091700951,1428980.0
real_single_age,after_births,Manitoba,2024,261323.10313379462,946801.5417048674,260674.355161338,1468799.0
real_single_age,after_births,Manitoba,2025,264256.5160333952,974809.9829050172,268897.50106158765,1507964.0
real_single_age,after_births,New Brunswick,2023,112483.27708302475,505237.2818778637,197293.44103911152,815014.0
real_single_age,after_births,New Brunswick,2024,115511.39642302113,518268.89284988854,203660.7107270903,837441.0
real_single_age,after_births,New Brunswick,2025,118902.30096795202,536339.7324817801,209668.9665502679,864911.0
real_single_age,after_births,Newfoundland and Labrador,2023,66874.53475058249,332381.06999856397,135316.39525085356,534572.0
real_single_age,after_births,Newfoundland and Labrador,2024,66716.73045463415,336082.9650058149,139304.30453955094,542104.0
real_single_age,after_births,Newfoundland and Labrador,2025,66624.74238886891,340414.16829583567,143248.08931529542,550287.0
real_single_age,after_births,Nova Scotia,2023,139757.75446181913,651603.1929701498,240611.05256803104,1031972.0
real_single_age,after_births,Nova Scotia,2024,142178.89528155717,670646.8478900623,248115.25682838054,1060941.0
real_single_age,after_births,Nova Scotia,2025,144058.0170079303,691242.723262794,255403.2597292757,1090704.0
real_single_age,after_births,Ontario,2023,2291468.7539751395,10043497.777450576,2956332.4685742836,15291299.0
real_single_age,after_births,Ontario,2024,2313535.589355114,10403835.638553753,3056870.772091133,15774242.000000002
real_single_age,after_births,Ontario,2025,2346299.689679332,10777636.070781,3165815.2395396675,16289751.0
real_single_age,after_births,Prince Edward Island,2023,24179.811506802936,107473.58222555254,36821.60626764452,168475.0
real_single_age,after_births,Prince Edward Island,2024,24482.608643621083,112551.53533760476,38079.85601877416,175114.0
real_single_age,after_births,Prince Edward Island,2025,24808.00959958244,117032.11444479425,39243.875955623305,181084.0
real_single_age,after_births,Quebec,2023,1357359.074288025,5483658.302371435,1908053.62334054,8749071.0
real_single_age,after_births,Quebec,2024,1361925.4896139712,5569865.674267162,1967827.8361188667,8899619.0
real_single_age,after_births,Quebec,2025,1364456.799913479,5681549.784902707,2026638.415183814,9072645.0
real_single_age,after_births,Saskatchewan,2023,224864.04817189436,747830.0382775032,219143.91355060233,1191838.0
real_single_age,after_births,Saskatchewan,2024,227972.83577496116,769242.5736459487,226138.59057909023,1223354.0
real_single_age,after_births,Saskatchewan,2025,230751.06967749825,797109.5073012155,233154.4230212862,1261015.0
real_single_age,after_births,Yukon,2023,7063.221970653443,30213.62877323562,7013.149256110934,44290.0
real_single_age,after_births,Yukon,2024,7181.066839708368,31314.63093640163,7348.302223889999,45844.0
real_single_age,after_births,Yukon,2025,7340.412901951657,33032.55773328994,7665.029364758401,48038.0
real_single_age,after_deaths,Alberta,2023,820643.9920603012,3010102.514894459,697482.49304524,4528229.0
real_single_age,after_deaths,Alberta,2024,837115.4288612868,3133845.6387575683,735132.932381145,4706094.0
real_single_age,after_deaths,Alberta,2025,859805.2881073798,3295592.9741592067,772611.7377334132,4928010.0
real_single_age,after_deaths,British Columbia,2023,731516.9489715069,3535265.3761815093,1087764.6748469835,5354547.0
real_single_age,after_deaths,British Columbia,2024,736143.5408846287,3651505.6167961326,1125877.8423192385,5513527.0
real_single_age,after_deaths,British Columbia,2025,741319.6363773155,3764908.090940484,1165355.2726822004,5671582.999999999
real_single_age,after_deaths,Manitoba,2023,258413.31553072782,914513.275299177,243341.4091700951,1416268.0
real_single_age,after_deaths,Manitoba,2024,261159.10313379462,943891.5417048674,251105.355161338,1456156.0
real_single_age,after_deaths,Manitoba,2025,264077.5160333952,971871.9829050172,259167.50106158762,1495117.0
real_single_age,after_deaths,New Brunswick,2023,112451.27708302475,503582.2818778637,190003.44103911152,806037.0
real_single_age,after_deaths,New Brunswick,2024,115464.39642302113,516729.89284988854,196508.7107270903,828703.0
